City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
89,Christchurch,NZ,2023-01-29 16:17:16,-43.5333,172.6333,63.91,92,100,6.91,mist
90,Kapaa,US,2023-01-29 16:12:49,22.0752,-159.319,71.92,72,100,23.02,moderate rain
91,College,US,2023-01-29 16:18:17,64.8569,-147.8028,21.15,89,100,8.05,overcast clouds
92,Ponta Do Sol,PT,2023-01-29 16:14:10,32.6667,-17.1,63.72,61,65,6.89,light rain
93,Udaipur,IN,2023-01-29 16:18:18,24.5712,73.6918,61.07,86,57,2.33,broken clouds
94,Westport,US,2023-01-29 16:17:49,41.1415,-73.3579,51.33,77,0,10.36,clear sky
95,Fairbanks,US,2023-01-29 16:12:49,64.8378,-147.7164,21.16,89,100,8.05,overcast clouds
96,Lovozero,RU,2023-01-29 16:18:19,68.005,35.0117,19.35,86,100,6.85,overcast clouds
97,Mar Del Plata,AR,2023-01-29 16:10:12,-38.0023,-57.5575,81.82,80,0,11.99,clear sky
98,Quatre Cocos,MU,2023-01-29 16:18:20,-20.2078,57.7625,82.09,79,100,3.33,overcast clouds
99,Yuzhno-Kurilsk,RU,2023-01-29 16:18:22,44.0306,145.8556,20.71,74,100,7.87,overcast clouds
100,Preeceville,CA,2023-01-29 16:18:23,51.95,-102.6677,-16.8,92,79,10.31,broken clouds
101,Chervona Sloboda,UA,2023-01-29 16:18:25,49.3789,32.1464,29.05,77,28,9.33,scattered clouds
102,Ribeira Grande,PT,2023-01-29 16:12:35,38.5167,-28.7,61.2,67,40,9.22,scattered clouds
103,Carnarvon,AU,2023-01-29 16:09:40,-24.8667,113.6333,73.74,80,0,8.16,clear sky
104,Katsuura,JP,2023-01-29 16:18:26,35.1333,140.3,42.84,65,14,12.5,few clouds
105,Tadine,NC,2023-01-29 16:18:28,-21.55,167.8833,75.94,83,100,2.26,overcast clouds
106,Kirando,TZ,2023-01-29 16:18:29,-7.4167,30.6,76.82,74,18,4.36,light rain
107,Poum,NC,2023-01-29 16:18:30,-20.2333,164.0167,79.09,77,73,15.61,broken clouds
108,Tautira,PF,2023-01-29 16:18:31,-17.7333,-149.15,79.52,76,11,9.13,few clouds
109,Saskylakh,RU,2023-01-29 16:18:32,71.9167,114.0833,-31.14,98,100,2.57,overcast clouds
110,Hobart,AU,2023-01-29 16:09:58,-42.8794,147.3294,60.66,87,100,4.61,overcast clouds
111,Russellville,US,2023-01-29 16:15:15,35.2784,-93.1338,52.05,95,100,3.0,mist
112,Ilinskaya,RU,2023-01-29 16:18:34,45.7219,40.7211,39.92,68,100,6.73,overcast clouds
113,Worland,US,2023-01-29 16:18:35,44.0169,-107.9554,-1.32,94,100,6.22,overcast clouds
114,Helong,CN,2023-01-29 16:18:35,42.5397,128.9972,2.84,93,55,5.44,broken clouds
115,Auki,SB,2023-01-29 16:18:37,-8.7676,160.7034,76.3,90,100,4.38,heavy intensity rain
116,Yatou,CN,2023-01-29 16:18:40,37.15,122.3833,27.63,72,0,5.84,clear sky
117,Kavieng,PG,2023-01-29 16:18:42,-2.5744,150.7967,82.53,76,72,8.32,light rain
118,Sarankhola,BD,2023-01-29 16:18:43,22.3082,89.7897,65.23,28,48,4.41,scattered clouds
119,Salinas,US,2023-01-29 16:16:53,36.6777,-121.6555,48.51,87,100,12.66,overcast clouds
120,Takoradi,GH,2023-01-29 16:09:47,4.8845,-1.7554,83.77,71,62,12.44,light rain
121,Killybegs,IE,2023-01-29 16:18:43,54.6333,-8.45,49.71,86,94,20.11,overcast clouds
122,Shingu,JP,2023-01-29 16:18:44,33.7333,135.9833,34.59,85,8,8.77,clear sky
123,Werda,BW,2023-01-29 16:18:44,-25.2667,23.2833,89.06,26,53,16.2,broken clouds
124,Bredasdorp,ZA,2023-01-29 16:18:44,-34.5322,20.0403,68.38,54,99,21.59,overcast clouds
125,Sosnovo-Ozerskoye,RU,2023-01-29 16:18:45,52.5249,111.5418,-5.28,100,92,3.56,overcast clouds
126,Vila Franca Do Campo,PT,2023-01-29 16:12:46,37.7167,-25.4333,59.41,69,60,8.12,broken clouds
127,Talcahuano,CL,2023-01-29 16:18:46,-36.7167,-73.1167,69.48,64,0,10.36,clear sky
128,Laizhou,CN,2023-01-29 16:18:46,37.1717,119.9214,29.12,56,0,3.62,clear sky
129,Kachug,RU,2023-01-29 16:18:46,53.9606,105.8817,7.23,98,100,0.74,overcast clouds
130,Hithadhoo,MV,2023-01-29 16:12:44,-0.6,73.0833,82.17,73,79,9.84,broken clouds
131,Vostok,RU,2023-01-29 16:18:47,46.4856,135.8833,-22.79,99,75,4.36,broken clouds
132,Provideniya,RU,2023-01-29 16:18:47,64.3833,-173.3,22.51,93,84,15.41,broken clouds
133,Pacific Grove,US,2023-01-29 16:15:00,36.6177,-121.9166,48.09,90,100,11.01,mist
134,Itarema,BR,2023-01-29 16:18:48,-2.9248,-39.9167,86.16,57,26,14.43,scattered clouds
135,Tabas,IR,2023-01-29 16:18:48,33.5959,56.9244,50.22,37,65,2.3,broken clouds
136,Arzgir,RU,2023-01-29 16:18:49,45.3728,44.2206,39.0,71,100,12.17,overcast clouds
137,Saint George,US,2023-01-29 16:09:24,37.1041,-113.5841,32.59,80,100,4.61,overcast clouds
138,Avarua,CK,2023-01-29 16:08:23,-21.2078,-159.775,80.65,78,40,6.91,light rain
139,Kokstad,ZA,2023-01-29 16:19:49,-30.5472,29.4241,51.35,96,100,2.68,overcast clouds
140,Aksarka,RU,2023-01-29 16:19:50,66.5606,67.7975,-10.41,100,100,5.59,overcast clouds
141,Tuatapere,NZ,2023-01-29 16:19:50,-46.1333,167.6833,55.45,64,98,4.47,overcast clouds
142,Georgetown,MY,2023-01-29 16:19:50,5.4112,100.3354,83.23,70,20,4.61,few clouds
143,Taoudenni,ML,2023-01-29 16:19:51,22.6783,-3.9836,72.45,16,33,2.28,scattered clouds
144,Pevek,RU,2023-01-29 16:12:47,69.7008,170.3133,-6.52,100,49,2.26,scattered clouds
145,Tura,IN,2023-01-29 16:19:51,25.5198,90.2201,63.5,58,0,3.47,clear sky
146,Cabo San Lucas,MX,2023-01-29 16:08:50,22.8909,-109.9124,70.11,56,0,6.91,clear sky
147,Khatanga,RU,2023-01-29 16:19:52,71.9667,102.5,-40.45,100,75,4.47,broken clouds
148,Bubaque,GW,2023-01-29 16:19:52,11.2833,-15.8333,78.35,42,94,8.12,overcast clouds
149,Sao Gabriel Da Cachoeira,BR,2023-01-29 16:19:52,-0.1303,-67.0892,75.0,100,100,3.44,mist
150,Mayo,US,2023-01-29 16:19:52,38.8876,-76.5119,52.03,57,75,11.5,broken clouds
151,Hilo,US,2023-01-29 16:12:38,19.7297,-155.09,70.29,86,0,3.0,light rain
152,Comodoro Rivadavia,AR,2023-01-29 16:19:53,-45.8667,-67.5,78.66,44,0,10.36,clear sky
153,Pecos,US,2023-01-29 16:15:32,31.4229,-103.4932,59.31,66,0,0.0,clear sky
154,Asarganj,IN,2023-01-29 16:19:53,25.15,86.6833,63.39,49,0,2.8,clear sky
155,Necochea,AR,2023-01-29 16:19:54,-38.5473,-58.7368,84.9,32,0,8.77,clear sky
156,Iqaluit,CA,2023-01-29 16:19:54,63.7506,-68.5145,-34.31,73,40,0.0,scattered clouds
157,Husavik,IS,2023-01-29 16:19:54,66.0449,-17.3389,28.06,94,100,18.77,snow
158,San Cristobal,VE,2023-01-29 16:19:55,7.7669,-72.225,73.58,34,23,5.99,few clouds
159,Los Llanos De Aridane,ES,2023-01-29 16:14:06,28.6585,-17.9182,58.75,84,75,9.22,broken clouds
160,Moose Factory,CA,2023-01-29 16:19:55,51.2585,-80.6094,-11.2,70,0,8.05,clear sky
161,Havoysund,NO,2023-01-29 16:19:55,70.9963,24.6622,34.03,82,99,4.21,light snow
162,Barra Patuca,HN,2023-01-29 16:19:56,15.8,-84.2833,79.34,73,97,12.68,light rain
163,Jiayuguan,CN,2023-01-29 16:16:47,39.8167,98.3,22.46,35,54,1.43,broken clouds
164,Mount Isa,AU,2023-01-29 16:19:56,-20.7333,139.5,80.37,69,75,0.0,broken clouds
165,Saldanha,ZA,2023-01-29 16:19:56,-33.0117,17.9442,67.77,66,56,19.19,broken clouds
166,Bambous Virieux,MU,2023-01-29 16:10:59,-20.3428,57.7575,82.22,79,100,3.27,overcast clouds
167,Acapulco,MX,2023-01-29 16:15:13,16.8634,-99.8901,78.62,69,75,3.44,broken clouds
168,Hermiston,US,2023-01-29 16:19:57,45.8404,-119.2895,22.39,54,0,0.0,clear sky
169,Anderson,US,2023-01-29 16:15:04,34.5334,-82.6499,56.19,58,100,3.44,overcast clouds
170,Cidreira,BR,2023-01-29 16:14:11,-30.1811,-50.2056,80.26,74,5,14.67,clear sky
171,Sao Raimundo Nonato,BR,2023-01-29 16:19:57,-9.0153,-42.6994,93.49,25,0,7.47,clear sky
172,Djibo,BF,2023-01-29 16:19:58,14.1022,-1.6306,84.63,4,85,7.16,overcast clouds
173,Sebina,BW,2023-01-29 16:19:58,-20.8667,27.25,82.89,36,84,11.99,broken clouds
174,Chaihe,CN,2023-01-29 16:19:58,44.7667,129.7,-8.73,98,95,1.32,overcast clouds
175,Astoria,US,2023-01-29 16:19:59,46.1879,-123.8313,34.86,82,0,6.91,clear sky
176,Yenagoa,NG,2023-01-29 16:19:59,4.9247,6.2642,79.38,82,90,7.2,heavy intensity rain
177,Anadyr,RU,2023-01-29 16:19:59,64.75,177.4833,28.9,86,100,29.08,overcast clouds
178,Mukhen,RU,2023-01-29 16:20:00,48.1,136.1,-16.65,96,20,3.98,few clouds
179,Marzuq,YE,2023-01-29 16:20:00,14.4,46.4667,66.34,48,11,6.35,few clouds
180,Ayia Galini,GR,2023-01-29 16:20:00,35.1,24.6833,53.74,64,22,6.22,few clouds
181,Port Augusta,AU,2023-01-29 16:20:01,-32.5,137.7667,72.48,79,97,10.98,overcast clouds
182,Mount Gambier,AU,2023-01-29 16:21:01,-37.8333,140.7667,52.83,89,1,4.59,clear sky
183,Yazd,IR,2023-01-29 16:21:02,31.8972,54.3675,51.91,43,20,6.91,few clouds
184,Jaru,BR,2023-01-29 16:21:03,-10.4389,-62.4664,75.52,92,100,5.01,moderate rain
185,Bengkulu,ID,2023-01-29 16:16:13,-3.8004,102.2655,76.33,90,100,5.77,overcast clouds
186,Nalut,LY,2023-01-29 16:21:05,30.3333,10.85,54.61,21,6,10.98,clear sky
187,Lorengau,PG,2023-01-29 16:21:06,-2.0226,147.2712,80.65,80,96,3.98,overcast clouds
188,Lebu,CL,2023-01-29 16:12:43,-37.6167,-73.65,64.96,80,72,16.46,broken clouds
189,Narsaq,GL,2023-01-29 16:21:07,60.9167,-46.05,17.82,68,100,8.93,overcast clouds
190,Lompoc,US,2023-01-29 16:21:08,34.6391,-120.4579,50.85,86,75,8.01,broken clouds
191,Mao,ES,2023-01-29 16:21:12,39.8885,4.2658,48.76,87,75,18.41,broken clouds
192,Makakilo City,US,2023-01-29 16:21:14,21.3469,-158.0858,70.12,80,75,13.8,light intensity drizzle
193,Anuradhapura,LK,2023-01-29 16:21:14,8.3565,80.4173,70.39,91,100,5.61,overcast clouds
194,Chuy,UY,2023-01-29 16:14:15,-33.6971,-53.4616,80.17,59,58,15.35,broken clouds
195,Markova,UA,2023-01-29 16:21:18,48.6758,24.4138,26.1,74,81,3.49,broken clouds
196,Umm Kaddadah,SD,2023-01-29 16:21:20,13.6017,26.6876,86.43,8,96,9.46,overcast clouds
197,Bethel,US,2023-01-29 16:21:21,41.3712,-73.414,48.56,75,0,5.75,clear sky
198,Iberia,US,2023-01-29 16:21:21,29.9502,-91.7507,65.05,94,100,8.05,moderate rain
199,Beringovskiy,RU,2023-01-29 16:21:22,63.05,179.3167,23.2,95,100,10.22,light snow
200,Chokurdakh,RU,2023-01-29 16:12:50,70.6333,147.9167,-34.58,100,87,3.98,overcast clouds
201,Mahabad,IR,2023-01-29 16:21:24,36.7631,45.7222,33.42,94,14,9.84,few clouds
202,Whyalla,AU,2023-01-29 16:18:39,-33.0333,137.5833,69.64,81,100,16.51,overcast clouds
203,Sitka,US,2023-01-29 16:21:26,57.0531,-135.33,33.69,80,40,0.0,scattered clouds
204,Ketchikan,US,2023-01-29 16:21:28,55.3422,-131.6461,30.18,86,0,0.0,clear sky
205,Kudahuvadhoo,MV,2023-01-29 16:21:29,2.6708,72.8944,80.53,76,26,6.11,scattered clouds
206,Ixtapa,MX,2023-01-29 16:18:57,20.7,-105.2,76.23,78,75,0.0,broken clouds
207,Esperance,AU,2023-01-29 16:21:30,-33.8667,121.9,62.73,68,58,11.01,broken clouds
208,San Vicente,AR,2023-01-29 16:21:31,-26.6167,-54.1333,75.45,68,99,3.42,overcast clouds
209,Luderitz,NA,2023-01-29 16:21:32,-26.6481,15.1594,67.12,70,0,20.78,clear sky
210,Beian,NO,2023-01-29 16:21:33,63.6559,9.5683,41.09,87,75,18.41,moderate rain
211,Angoche,MZ,2023-01-29 16:21:35,-16.2325,39.9086,81.3,83,98,7.7,light rain
212,Chapais,CA,2023-01-29 16:14:08,49.7834,-74.8492,-3.84,89,98,4.03,overcast clouds
213,Sibu,MY,2023-01-29 16:21:41,2.3,111.8167,75.51,94,40,2.3,moderate rain
214,Maanshan,CN,2023-01-29 16:21:42,31.6957,118.4983,26.65,47,0,3.56,clear sky
215,Coquimbo,CL,2023-01-29 16:18:31,-29.9533,-71.3436,64.13,77,100,8.05,overcast clouds
216,Luau,AO,2023-01-29 16:21:44,-10.7073,22.2247,73.78,84,43,3.27,light rain
217,Touros,BR,2023-01-29 16:18:56,-5.1989,-35.4608,87.46,53,27,15.32,scattered clouds
218,Xining,CN,2023-01-29 16:16:57,36.6167,101.7667,28.02,24,0,0.56,clear sky
219,Buin,CL,2023-01-29 16:21:45,-33.7333,-70.75,92.12,15,0,8.79,clear sky
220,Abay,KZ,2023-01-29 16:21:45,49.6311,72.8539,-9.02,97,6,5.21,clear sky
221,Kununurra,AU,2023-01-29 16:21:46,-15.7667,128.7333,76.98,94,40,5.75,scattered clouds
222,Inzhavino,RU,2023-01-29 16:21:46,52.3185,42.4937,22.46,97,100,7.9,light snow
223,Bangkalan,ID,2023-01-29 16:21:46,-7.0455,112.7351,76.95,86,100,8.05,overcast clouds
224,Bereda,ES,2023-01-29 16:21:47,43.2686,-7.5406,45.14,82,40,7.83,scattered clouds
225,Zaysan,KZ,2023-01-29 16:21:47,47.4667,84.8667,-1.46,84,55,4.29,broken clouds
226,Shache,CN,2023-01-29 16:21:47,38.4167,77.2406,16.84,89,41,4.18,scattered clouds
227,Monte Alegre,BR,2023-01-29 16:17:00,-2.0078,-54.0692,85.78,58,41,4.5,scattered clouds
228,Airai,TL,2023-01-29 16:22:48,-8.9266,125.4092,61.36,94,94,1.12,light rain
229,Mount Pleasant,US,2023-01-29 16:21:27,32.7941,-79.8626,67.05,74,0,10.36,clear sky
230,Grindavik,IS,2023-01-29 16:22:48,63.8424,-22.4338,36.07,87,75,8.05,broken clouds
231,Vrangel,RU,2023-01-29 16:22:49,42.7297,133.0839,13.42,71,100,7.38,overcast clouds
232,Codrington,AU,2023-01-29 16:22:49,-38.2667,141.9667,54.91,82,0,5.32,clear sky
233,Yar-Sale,RU,2023-01-29 16:13:57,66.8333,70.8333,-26.27,100,36,3.31,scattered clouds
234,Mahebourg,MU,2023-01-29 16:13:59,-20.4081,57.7,82.26,79,100,2.82,overcast clouds
235,Tiksi,RU,2023-01-29 16:13:54,71.6872,128.8694,-33.63,97,95,6.87,overcast clouds
236,Arraial Do Cabo,BR,2023-01-29 16:22:50,-22.9661,-42.0278,89.56,66,20,17.27,few clouds
237,Saint-Philippe,RE,2023-01-29 16:22:50,-21.3585,55.7679,83.79,87,100,4.09,overcast clouds
238,Plettenberg Bay,ZA,2023-01-29 16:22:50,-34.0527,23.3716,66.88,62,71,18.81,broken clouds
239,Mabaruma,GY,2023-01-29 16:22:51,8.2,-59.7833,83.68,41,7,6.06,clear sky
240,Lagoa,PT,2023-01-29 16:22:51,39.05,-27.9833,57.42,71,92,12.33,overcast clouds
241,Bilibino,RU,2023-01-29 16:22:51,68.0546,166.4372,-1.75,94,99,4.74,overcast clouds
242,Kulhudhuffushi,MV,2023-01-29 16:22:52,6.6221,73.07,80.46,72,5,11.12,clear sky
243,Makokou,GA,2023-01-29 16:22:52,0.5738,12.8642,87.57,45,52,3.38,broken clouds
244,Hamilton,US,2023-01-29 16:22:52,39.1834,-84.5333,45.41,92,100,14.97,mist
245,Pangai,TO,2023-01-29 16:22:53,-19.8,-174.35,82.26,73,90,7.18,overcast clouds
246,Longyearbyen,SJ,2023-01-29 16:22:53,78.2186,15.6401,28.24,74,40,24.16,scattered clouds
247,Campbell River,CA,2023-01-29 16:22:53,50.0163,-125.2446,31.44,93,0,2.3,clear sky
248,Mbandaka,CD,2023-01-29 16:22:54,0.0487,18.2603,75.69,82,42,11.97,light rain
249,Gelnhausen,DE,2023-01-29 16:22:54,50.2,9.1833,34.34,75,92,4.25,overcast clouds
250,Porbandar,IN,2023-01-29 16:22:55,21.6422,69.6093,67.24,55,0,11.92,clear sky
251,Hervey Bay,AU,2023-01-29 16:22:55,-25.2986,152.8535,75.7,76,100,5.41,overcast clouds
252,Bonavista,CA,2023-01-29 16:22:56,48.6499,-53.1147,32.65,61,71,26.31,broken clouds
253,Mahon,ES,2023-01-29 16:22:56,39.8885,4.2658,48.76,87,75,18.41,broken clouds
254,Traralgon,AU,2023-01-29 16:22:56,-38.1833,146.5333,62.38,95,93,1.34,overcast clouds
255,Bud,US,2023-01-29 16:22:57,39.447,-86.1758,46.35,95,100,6.69,overcast clouds
256,Arlit,NE,2023-01-29 16:22:57,18.7369,7.3853,79.63,3,61,9.62,broken clouds
257,Laguna,US,2023-01-29 16:22:57,38.421,-121.4238,46.76,89,40,9.22,scattered clouds
258,Portland,US,2023-01-29 16:20:50,45.5234,-122.6762,32.88,48,0,10.0,clear sky
259,Nelson Bay,AU,2023-01-29 16:22:58,-32.7167,152.15,73.99,97,100,5.99,light rain
260,Santa Isabel Do Rio Negro,BR,2023-01-29 16:22:58,-0.4139,-65.0192,90.12,46,70,5.41,broken clouds
